order_id (unique),product_id,column3,store_id,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
,,,,,,,,,,,,,
1,P0258,,S0008,02-Jan-17,0 sales,0,5,6.5,PR14,,PR03,,NA
NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,P0348,,S0110,02-Jan-17,0 sales,0,9,2.1,PR05,verylow,PR03,,NA
,,,,,,,,,,,,,
3,P0219,,S0026,02-Jan-17,5 sales,33.56,3,7.25,PR14,,PR03,,NA
3,P0219,,S0026,02-Jan-17,5 sales,33.56,3,7.25,PR14,,PR03,,NA
3,P0219,,S0026,02-Jan-17,5 sales,33.56,3,7.25,PR14,,PR03,,NA
,,,,,,,,,,,,,
4,P0218,NA,S0051,02-Jan-17,0 sales,0,1,59.9,PR05,moderate,PR03,,NA
5,P0660,,S0056,02-Jan-17,1 sales,4.58,5,4.95,PR14,,PR03,,NA
6,P0695,,S0023,02-Jan-17,0 sales,0,33,4.85,PR14,,PR03,,NA
7,P0695,,S0132,02-Jan-17,0 sales,0,3,4.85,PR14,,PR03,,NA
8,P0296,,S0004,02-Jan-17,0 sales,0,36,0.75,PR14,,PR03,,NA
9,P0287,,S0123,02-Jan-17,0 sales,0,10,7.5,PR05,verylow,PR03,,NA
10,P0114,,S0137,02-Jan-17,2 sales,0.83,12,0.45,PR14,,PR03,,NA
11,P0241,,S0097,02-Jan-17,0 sales,0,11,12.95,PR05,verylow,PR03,,NA
12,P0165,,S0102,02-Jan-17,1 sales,1.3,16,1.4,PR14,,PR03,,NA
13,P0327,,S0063,02-Jan-17,0 sales,0,12,1.95,PR07,verylow,PR03,,NA
14,P0436,,S0021,02-Jan-17,1 sales,2.78,19,3,PR14,,PR03,,NA
15,P0131,,S0091,02-Jan-17,0 sales,0,26,2.25,PR14,,PR03,,NA
16,P0171,,S0094,02-Jan-17,0 sales,0,7,9.85,PR14,,PR03,,NA
17,P0035,,S0023,02-Jan-17,2 sales,4.54,49,2.45,PR14,,PR03,,NA
18,P0402,,S0056,02-Jan-17,0 sales,0,6,7.75,PR14,,PR03,,NA
19,P0438,,S0015,02-Jan-17,5 sales,1.16,78,0.25,PR14,,PR03,,NA
20,P0453,,S0056,02-Jan-17,0 sales,0,36,5.25,PR14,,PR03,,NA
21,P0252,,S0096,02-Jan-17,0 sales,0,1,14.99,PR14,,PR03,,NA
22,P0249,,S0078,02-Jan-17,0 sales,0,4,1.9,PR14,,PR03,,NA
23,P0219,,S0040,02-Jan-17,0 sales,0,13,7.25,PR14,,PR03,,NA
24,P0333,,S0083,02-Jan-17,0 sales,0,9,1.85,PR14,,PR03,,NA
25,P0055,,S0051,02-Jan-17,0 sales,0,21,3.5,PR05,verylow,PR03,,NA
26,,,,,,,,,,,,,
27,P0345,,S0126,02-Jan-17,0 sales,0,6,3.15,PR06,verylow,PR03,,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,P0160,,S0126,02-Jan-17,0 sales,0,48,2.5,PR14,,PR03,,NA
30,P0054,,S0122,02-Jan-17,0 sales,0,4,3.95,PR14,,PR03,,NA
31,P0060,,S0018,02-Jan-17,0 sales,0,5,15.9,PR14,,PR03,,NA
32,P0089,,S0097,02-Jan-17,0 sales,0,14,5.99,PR14,,PR03,,NA
33,P0057,,S0009,02-Jan-17,0 sales,0,1,12.9,PR14,,PR03,,NA
