order_id,product_id,store_id,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2
18117,P0129,S0030,01-Jan-18,0,0,3,24.95,PR14,,PR03,,NA
18118,P0513,S0108,01-Jan-18,0,0,6,15,PR14,,PR03,,NA
18119,P0229,S0069,01-Jan-18,0,0,3,7.95,PR14,,PR03,,NA
18120,P0275,S0065,01-Jan-18,0,0,39,2.45,PR14,,PR03,,NA
18121,P0427,S0098,01-Jan-18,0,0,1,NA,PR14,,PR03,,NA
18122,P0448,S0002,01-Jan-18,1,3.75,28,4.05,PR14,,PR03,,NA
18123,P0602,S0142,01-Jan-18,0,0,4,10.9,PR14,,PR03,,NA
18124,P0510,S0002,01-Jan-18,1,18.98,7,20.5,PR14,,PR03,,NA
18125,P0275,S0078,01-Jan-18,0,0,34,2.45,PR14,,PR03,,NA
18126,P0655,S0096,01-Jan-18,0,0,15,59.9,PR14,,PR03,,NA
18127,P0283,S0083,01-Jan-18,0,0,10,23.5,PR14,,PR03,,NA
18128,P0602,S0029,01-Jan-18,0,0,8,NA,PR14,,PR03,,NA
18129,P0579,S0060,01-Jan-18,0,0,12,3.5,PR14,,PR03,,NA
18130,P0382,S0065,01-Jan-18,1,16.91,6,19.95,PR14,,PR03,,NA
18131,P0608,S0094,01-Jan-18,0,0,11,9.9,PR14,,PR03,,NA
18132,P0296,S0078,01-Jan-18,0,0,10,0.75,PR14,,PR03,,NA
18133,P0234,S0023,01-Jan-18,0,0,4,104.9,PR14,,PR03,,NA
18134,P0226,S0138,01-Jan-18,1,1.57,7,1.7,PR14,,PR03,,NA
18135,P0389,S0015,01-Jan-18,0,0,1,9.45,PR05,low,PR03,,NA
18136,P0370,S0013,01-Jan-18,0,0,30,4.9,PR14,,PR03,,NA
18137,P0333,S0040,01-Jan-18,0,0,6,2,PR14,,PR03,,NA
18138,P0438,S0086,01-Jan-18,0,0,8,0.5,PR14,,PR03,,NA
18139,P0043,S0097,01-Jan-18,0,0,2,7,PR05,moderate,PR03,,NA
18140,P0582,S0085,01-Jan-18,1,8.01,7,9.45,PR14,,PR03,,NA
